"","group","agent","fit_AS","fit_DB","fit_VS","fit_SG","r2_AS","r2_DB","r2_VS","r2_SG","id","model","lambda","beta","tau","par","Age","Sex","Nationality","compfail","totalPayment","soc","bias","useful","strategy","pQ1","pQ2","pQ3","pQ4","feedback","Time.taken","strat_soc","AS","DB","VS","SG"
"1",0,1,286.257923721821,289.482640819345,321.665037967546,287.154402977448,0.373610890920163,0.366165097685768,0.288818106499872,0.372328899726288,0,"AS",0.761216027421618,0.448665478356253,0.0187815894068714,NA,"64","Male","United Kingdom",2,7,"late",0,"2","Stick to areas with > 55+ score","B","A","B","B","",1025,0,1,0,0,0
"2",0,2,420.12950813985,356.297533950028,358.499277300915,356.917341025823,0.18346198444959,0.302376133856134,0.297961542165413,0.301237458885095,1,"DB",1.69071497490977,0.00673794699908547,0.0916791558444627,0.0714285714285714,"65","Male","United Kingdom",0,6.9,"consistent",0,"2","sample most likely areas having looked at other screens and then go for it when i'm in the correct area","A","A","B","B","I was a little unclear at the start as to exactly what I was meant to do and had to work it out as I went along. Maybe better instructions would help?",1140,1,1,0,0,0
"3",0,3,281.740304356283,284.310280399328,280.308553117753,276.378667701486,0.475469496043322,0.470684838654331,0.478135061413541,0.485451532454474,2,"SG",1.56691439072507,0.228004223390094,0.0344923407616083,5.66767787801082,"27","Male","South Africa",0,7.7,"early",1,"3","Lookat other player's choices and guess where large deposits are. Inch closer until I find a spot where moving outward would yield less, then focus on that spot until the days are over.","B","B","B","B","N/A",1073,1,0,0,1,0
"4",0,4,338.572099510118,341.061884660485,347.760809957481,336.701446591075,0.369662802106105,0.365027440251685,0.352555704374102,0.373145493446968,3,"SG",0.878365482770256,0.432669541884371,0.0320827687075726,19.0665665999508,"75","Male","Ireland",0,7.4,"early",0,"2","Check the one revealed tile and quess accordingly. Bias towards the top right where many high scores were. Check the others' scores","A","B","B","B","Interesting. enjoyable. Kept my interest throughout. I like the bonus but it wasn't vital.",1125,1,0,0,1,0
"5",10,1,319.017383846539,319.433871792702,326.476882572089,315.992970975563,0.336888633602799,0.333687517704312,0.329562572199849,0.355420765201022,22,"SG",0.625815249164672,0.447344762205881,0.0195289647657344,19.7066608869117,"40","Male","United Kingdom",0,7.5,"none",0,"1","finding the highest number and then picking close to them numbers.","B","A","A","B","I liked this study. Much better than lots of the other boring ones. Send me more like this please",1737,0,1,0,0,0
"6",10,2,338.903735835677,340.400550052868,358.280844706993,348.118140582833,0.406068828163263,0.405293431001711,0.392181093376021,0.411699534110752,20,"AS",0.48343783583409,3.80143033885812,0.00673794699908547,NA,"76","Female","United Kingdom",0,7.6,"early",0,"2","I glanced at the other scientists to see where their highest cluster was and tried to find the highest figure.","A","B","B","A","Yes instructions clear and bonus motivating  - on this page found the figures on the small grids dificult to read.",2277,1,0,0,0,1
"7",10,3,356.176040824289,357.895451536757,360.111077497714,346.221904015335,0.129612528995737,0.109864744769551,0.193166531768842,0.149179489520366,23,"SG",0.918815960309187,0.429241255083348,0.0294584193819023,6.78976224029977,"53","Male","United States",1,7.3,"consistent",0,"3","Just trying to find the most. Kindof using the others as a guide when I was lost.","A","B","B","A","No issues, thanks",1627,1,0,0,0,1
"8",10,4,467.509952498187,478.117051029691,433.373283707169,456.999979537699,0.369045377597484,0.366258681113052,0.332970011296177,0.351890443457942,21,"VS",1.87343645841727,0.00673794699908547,0.114989462119908,0.114024783411615,"43","Male","United Kingdom",14,6.2,"consistent",1,"3","I based my moves on other peoples that looked darker ","A","A","B","B","",1752,1,1,0,0,0
"9",11,1,417.216028556992,466.937035029683,419.347956881669,485.24917629629,0.399389181166827,0.396368194722339,0.344545269448581,0.396196677304618,25,"AS",1.82216774068813,0.00673794699908547,0.0867315570194125,NA,"41","Female","United Kingdom",0,6.9,"early",0,"3","I would look at the other scientists grid and would click on the   square which has the highest number on my grid","A","A","A","B","",1049,1,1,0,0,0
"10",11,2,322.605212892844,324.227870934475,352.063443182657,324.31999783483,0.182815798894716,0.090682386687538,0.17770958914756,0.057003735611477,24,"AS",0.938676783119592,0.34913664099274,0.0290274389118118,NA,"33","Female","United Kingdom",0,7.6,"early",0,"2","use information from other players and source highest number.","A","B","B","B","really enjoyable ",980,1,0,0,1,0
"11",11,3,283.114028860831,282.670786185294,285.864837560085,275.126731088649,0.469850678327783,0.470609152236637,0.464435760253457,0.484669449848243,26,"SG",1.1422393933625,0.254591198339755,0.0267241753315303,11.7976931319874,"21","Female","United Kingdom",0,7.9,"consistent",0,"3","If I saw a large number on either my grid or another persons I clicked tiles around it. Once I found the biggest tile in the group I clicked it repeatedly until I saw someone else locate a bigger number elsewhere. I judged the size of the number relative to all the other numbers I could see.","A","B","B","B","Instructions were clear. Bonus payments were motivating. It was fun. It wasn't too long",1057,1,0,0,1,0
"12",11,4,300.298695787457,303.037811807973,353.388639686797,294.400423183142,0.440918378366851,0.435818824329242,0.342078082541311,0.45189949769475,27,"SG",0.760381885213846,0.409173975361129,0.0248968820832778,11.9367794266486,"54","Female","United Kingdom",0,7.7,"early",0,"2","Finding one high value square and then chhosing those adjacent to it. Keeping en eye on whar others were doing but not necessarily following their moves. ","B","B","B","A","Really fun to do and a great motivating bonus",988,1,0,1,0,0
"13",12,1,433.169174868441,355.881303992161,414.956235555425,422.073022206451,0.44719652715565,0.442985224575447,0.443045781273039,0.382169715884867,29,"DB",0.635964808741092,0.436880691464654,0.0158686596587737,0.0976855584871716,"39","Male","United Kingdom",17,6.9,"none",0,"1","Randomly click on board and if a high number was found, concetrate around that.","B","A","B","B","No issues",1722,0,1,0,0,0
