"","Time.taken","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","compfail","totalEarning","bonus_for_waiting","completionFee","totalPayment","soc","bias","useful","pQ1","pQ2","pQ3","pQ4","strategy","strategy_diff","feedback","date.y","group","blockOrder","confirmationID.y","agent"
"219",1279,"38","Male","Asian","United States","United States","United States","English","No","Full-Time",0,3.89,0.06,6.95,10.9,"consistent",4,3,"A","B","B","A","I tried to find the most concentrated areas and focused on that area when/if I found it.","","No feedback","2023-7-20","50","S-I","Wcv3KkJuGrPxJr0YAAAD",2
"564",2163,"30","Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)",0,4.17,0.2,6.95,11.3,"early",4,3,"A","B","B","A","I tried hitting different spots until I found ""warmer spots"" and then based on value I would explore that area if it was lower value or if it was decently high value I would stay.","During group rounds I would wait for the others to explore before taking my turn to get a better idea on where I want to explore.","No issues experienced, it was easy enough to understand the task and great incentives thanks for the fun game very enjoyable experience!","2023-7-20","0","I-S","ZRiYbfAnqdC-wC1SAABX",1
"804",1558,"30","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.48,0.02,6.95,10.5,"early",4,4,"A","B","B","B","Hovering next to high-paying squares when I found them","I looked to see where the rest of the group was finding high-paying squares","","2023-7-20","6","S-I","qbptuOb5UVbeJGzSAAA9",4
"1044",2296,"35","Male","White","United States","United States","United States","English","No","DATA_EXPIRED",1,1.95,0.02,6.95,8.9,"none",0,1,"A","A","A","A","If the salt yielded a lot of points i tended to pick the ones close by.","It was not.","","2023-7-26","52","S-I","O4AmoVLAI8oELSV-AAAv",4
"1284",1792,"35","Male","White","United States","United States","United States","English","No","Full-Time",1,4.17,0.12,6.95,11.2,"early",4,3,"A","B","B","A","clicked different areas until i found higher points","wasn't really different just had more information to go off of","everything was fine!","2023-7-26","52","S-I","YFVcKPjrRttkERDyAAAp",1
"1524",2181,"54","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.03,0.18,6.95,11.2,"consistent",4,4,"A","B","B","A","Check a few areas until I found a dark red patch. Stick with anything dark red.","Checked what others had found so as to find the best patch quickly","","2023-7-20","39","S-I","9b8lVNeuDt6yrwsfAABJ",2
"1764",1930,"28","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",0,3.2,0.02,6.95,10.2,"early",4,4,"A","B","B","B","I tried to find a solid number and stick with that. Sometimes I'd take a little bit of risk but I would generally try to avoid it.","My strategy was slightly different as I'd look at what places are good for the other members and pick those spots, so I'd probably take even less risk as I'd try let the other members take the risks for me.","Instructions were clear. I thought the game was fun as well as I was motivated a lot to do well for the bonus payment.","2023-7-20","45","I-S","EtDwM9dwfo6K0U5vAAAX",4
"2094",1566,"31","Female","White","United States","United States","United States","English","No","Full-Time",4,4.17,0.03,6.95,11.2,"consistent",4,2,"A","B","B","A","I tried to find the highest range, at least 70+ and then I kept taking samples from that spot to yield me the highest amount.","I started out with my above strategy, but used the group grids to see if there was a better spot I could collect samples from.","Instructions were very clear, bonus payment was extremely motivating. This game was fun, thank you! :)","2023-7-20","61","I-S","mI5NphHzAVNY6iDRAAAT",2
"2334",1687,"40","Female","White","United States","United States","United States","English","No","Full-Time",1,3.61,0.02,6.95,10.6,"early",4,3,"A","B","B","A","If with others, see where they are picking to search. If by myself stick to a good area once I get a good result.","In group rounds I watched where others were picking and I tried the same spots.","none","2023-7-20","61","I-S","QIY6qJtA6CmnLcJjAAAV",3
"2574",2461,"34","Male","White","United States","United Kingdom","United States","English","DATA_EXPIRED","Full-Time",3,3.61,0.28,6.95,10.8,"early",4,4,"A","B","B","B","followed my colleagues
","","","2023-7-20","39","S-I","qGleXuxyVS5hLLamAABH",1
"2814",1548,"39","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",0,3.48,0.02,6.95,10.5,"consistent",4,4,"A","B","B","B","Trying to find the highest concentration and also using teammates data","n/a","","2023-7-26","30","I-S","rb7QeL0PIRm-qqHzAAAX",4
"3069",1461,"29","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",1,4.17,0.08,6.95,11.2,"consistent",4,4,"A","B","B","A","My strategy was to find the best possible number within around 5 or so turns, and then use that one over and over again to get stable benefits","","","2023-7-26","51","I-S","Lo9VsfluvKm8EYmAAAAD",2
"3309",1603,"25","Male","Asian","United States","United States","United States","English","No","Other",0,3.75,0.16,6.95,10.9,"consistent",4,4,"A","B","B","A","I'd search around for a high number, once I decided on one, I'd look around that number.","For the group rounds, I used the numbers of the other group members to give me a hint a to the general area where I should search.","","2023-7-26","37","S-I","MBS2gZdnzIsbGya0AAAL",2
"3549",1900,"35","Female","Asian","Hong Kong, Canada","Canada","Canada","English","No","Unemployed (and job seeking)",1,4.59,0.07,4.75,9.4,"consistent",4,3,"A","B","B","A","For the solo portion, I tried to space out my guesses at the beginning, then click the adjacent squares when I find a red or dark red square to see if there is a higher value square around. If I have around 6 days left, or if I think it's around the highest value I will find, I will just keep clicking the highest value square I already found. For the group portion, I tried to base my initial guesses on what my teammates' high value squares were. The rest of my strategy remains the same. ","technical difficulties","It was very fun! The instructions were quite clear, and the bonus payment did make me want to play strategically, rather than just trying to find the highest valued square. (Instead, I wanted to maximize the amount of salt sampled at the end).","2023-7-19","55","S-I","XznKSBZ_yzO2S9EkAAAF",3
"3791",1509,"45","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2,3.89,0.09,6.95,10.9,"none",0,1,"A","A","A","A","I aimed to find hotspots with salt levels above 50-60 and concentrate on those areas","","","2023-7-20","32","S-I","k4yLepXRwfsodkyEAAAT",2
"4181",2105,"62","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0,3.06,0.15,6.95,10.2,"early",4,3,"A","B","B","A","If I started on 50 or over I clicked on nearby squares to see if numbers went up, if they went up I clicked in that direction. I checked on BCD as well in case they had found hot spots.","I clicked at random to start solo rounds. For group rounds if my numbers were low I checked if they had found a hot spot.","The bonus payments were very motivating!","2023-7-20","43","I-S","BAGD8pdvwBS5Lp58AAAZ",1
"4556",1491,"33","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,2.64,0.12,6.95,9.7,"none",0,2,"A","A","B","A","I tried to stay above the median amount of 40 by staying in them regions on the board.","it was exactly the same","","2023-7-20","32","S-I","EGiXq0IPZEBeTahXAAAR",1
"4931",1275,"33","Male","White","United States","United States","United States","English","No","Full-Time",0,4.73,0.02,6.95,11.7,"early",4,3,"A","A","B","A","I took cues from my teammates when working in a group. I chose to stick with high yield squares instead of searching around.","","","2023-7-20","50","S-I","q1X7f222xlHUQ6pTAAAH",3
"5291",1720,"43","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.34,0.02,6.95,10.3,"consistent",4,3,"A","B","B","B","Hit random squares looking for one with a high concentration and then focus on that area","I paid more attention in the group games to where others were finding the highest concentrations of salt","","2023-7-20","2","S-I","hIWhP135nqnFl13mAAAn",4
"5741",1501,"29","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",1,3.61,0.02,6.95,10.6,"early",4,4,"A","B","B","B","My strategy was to keep hunting around for the best mineral clusters","I watched where their clusters were and started clicking around that area on my screen","Nothing was unclear and I found this a really fun game :)","2023-7-20","58","I-S","Ca0yrr4KCSyaulenAAAx",4
"5981",2048,"38","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2,3.61,0.06,6.95,10.6,"late",4,3,"A","B","A","B","looked at team mates and also worked from corners to find high amounts and work around them when unsure went back to same sector","i looked to see if a group member had found a high amount and worked around this also, when alone i worked from the corners","","2023-7-26","52","S-I","mVByfui-xnOWMwXCAAAt",3
"6221",2785,"DATA_EXPIRED","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",5,2.64,0.31,6.95,9.9,"none",0,1,"A","A","B","B","As soon as I hit a square with a high number I focused on that area as I knew they were clustered together. ","","","2023-7-20","6","S-I","LIO1NYZBrwew3eo1AAA3",1
"6461",1734,"54","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.45,0.03,6.95,11.4,"early",4,4,"A","B","B","A","I'd try to find - either by myself or by watching my partners - a 70-ish point spot and search around it to see if there was a higher one, if not stick to it.","Group rounds I would wait for all my partners to make a move before I moved to see if they'd found a high yield area.","I found this to be one of the most enjoyable studies I've done on Prolific. Love the game aspect! And the bonus was certainly motivating! If anything I thought that it was a bit simple, and more complexity/difficulty would have been welcome. But I enjoyed it, nonetheless. Thanks.","2023-7-20","32","S-I","pKJsVfC9U4EWK_AhAAAV",3
"6701",2800,"58","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",7,3.06,0.17,6.95,10.2,"early",4,2,"A","B","B","A","I tried to find the highest concentration of salt ","it was a bit easier to see where others were getting the highest concentrations so I would try where they were some of the time.","","2023-7-20","6","S-I","S802bycfJfv_0nuiAAA7",3
"6941",1787,"36","Male","Mixed","India","Australia","Australia","English","No","Full-Time",0,3.34,0.02,6.95,10.3,"consistent",4,3,"A","B","B","B","First I checked if the square revealed at the start of each round was high or low. If it was low I would start checking other quadrants for higher numbers until I found one somewhere in the 40/50 range. If I was successful at finding a number in that range I would then check adjacent squares till I found the number increasing. ","It was similar to the solo round but I would pay attention to the other scientists data to streamline where I should scan for higher density deposits. ","Instructions were clear and easy to follow with no technical errors. ","2023-7-20","16","I-S","n2hhJVUua65wVxT2AAAN",3
"7181",1970,"49","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",2,3.75,0.07,6.95,10.8,"early",4,2,"A","B","B","B","I tried to find a high number to start from and then select the numbers around it.","","Knowing the bonus you receive depends on how well you perform is very motivating.","2023-7-26","1","S-I","7S3slCNSzuDX9LPTAAAd",3
"7421",1492,"26","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",0,3.06,0.03,6.95,10,"early",4,2,"A","B","B","A","try follow others plans or pick at random and follow the higher numbers","as explained above","","2023-7-26","51","I-S","M3fhuESeyKICotPBAAAF",3
