"","Age","Sex","Ethnicity.simplified","Time.taken","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","totalEarning","bonus_for_waiting","completionFee","totalPayment","soc","bias","useful","pQ1","pQ2","pQ3","pQ4","strategy","feedback"
"1","53","Female","White",1304,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.5,0.04,4.75,7.3,"early",4,1,"A","A","B","B","I did look at the other scientists but I found that if I tried to replicate their areas it didn't often work out so most of my strategy was mostly picking squares near other squares if they seemed to be higher","Instructions were mostlu clear I had to read them a few times though!"
"226","36","Male","White",1187,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",4.03,0.07,4.75,8.9,"none",0,2,"A","B","B","B","I searched for tiles with at least a 50+ rating, and then clicked around them to find a tile of at least 65+. After another two or three clicks, if I didn't find another higher tile, I'd 'mine' the highest tile until my turns ran out.
Typically this netted me tiles in the 70--75+ range for optimal mining.","Perhaps a reminder on screen sometimes to remember to check the other scientists' grids?"
"346","43","Female","White",1154,"United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",2.92,0.02,4.75,7.7,"consistent",4,2,"A","B","B","B","I tried to identify the high yield areas looking at the other player's screens for clues","It would have been helpful to have the instructions alongside the questions. I have dyslexia and poor short term memory - I had to copypaste them into a blank document to help me refer to the questions to get them right. A trial round would also have been useful."
"466","35","Female","White",1197,"Italy","United Kingdom","Italy","Italian","No","Full-Time",2.64,0.07,4.75,7.5,"consistent",4,3,"A","B","B","B","I kept on eye of where the higher concentration of salt was for the other researchers and looked around there, but not on the same place likely. Also I tried to remember the concentration that was shown at the beginning of the experiment and if I wasn't sure where to start, I would explore those areas I remembered showing higher concentration - although this was last resource as I didn't know which planet corresponded to what. ","Great experience and interesting game. "
"706","70","Female","White",1146,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",1.25,0.09,4.75,6.1,"none",0,1,"A","B","A","B","to get dark clusters",""
"859","36","Female","White",1135,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.09,0.05,4.75,6.9,"consistent",4,2,"A","A","A","B","i looked at the others board and did use it to help give me an idea where higher concentrations were",""
"979","54","Male","White",997,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.75,0.04,4.75,8.5,"none",0,2,"B","B","B","B","Pick boxes near high scores. If there wasn't any i would search in other areas","none"
"1099","40","Male","Asian",1983,"India","United Kingdom","India","Hindi","Yes","Full-Time",2.92,0.02,4.75,7.7,"none",0,1,"A","A","B","A","to explore the areas and if you hit a high number keep exploring around","n/a"
"1219","39","Female","White",1277,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.78,0.05,4.75,7.6,"none",0,2,"B","A","B","A","to try and find as much salt as possible. find the highest number and work around that number ",""
"1339","63","Female","White",1370,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.22,0.03,4.75,7,"none",0,1,"A","A","A","A","I tried to find the highest scoring tiles then clicked on adjacent ones as there was usually a pattern","It was very enjoyable "
