agent,group,model,fit_SG,fit_VS,id,fit_DB,fit_AS,Unnamed: 0,r2,lambda,beta,tau,par
1,0,AS,297.6508440625797,391.53689743155104,0,296.93512784825907,286.2594771050654,0,0.38409491345909136,0.7592297301414075,0.4478976920690042,0.018983755905211997,
1,0,DB,297.6508440625797,391.53689743155104,0,296.93512784825907,286.2594771050654,0,0.3598724084411177,0.7601478391174394,0.44689473227252485,0.019766004540178808,0.21428570000000002
1,0,VS,297.6508440625797,391.53689743155104,0,296.93512784825907,286.2594771050654,0,0.14404493887154937,1.6049796365931095,0.129686394319516,0.07657770663326914,0.116
1,0,SG,297.6508440625797,391.53689743155104,0,296.93512784825907,286.2594771050654,0,0.3622974529054638,0.7204605963614852,0.45592976308451544,0.019478191827488445,18.999999999999996
2,0,AS,356.92838984216075,363.11397657566846,1,357.3612575065035,307.3435139912172,3840,0.39344137118412625,1.2028722365278817,3.4068947883955762,0.058652075313282585,
2,0,DB,356.92838984216075,363.11397657566846,1,357.3612575065035,307.3435139912172,3840,0.30050114196713523,1.6904930786610157,0.006737946999085468,0.0933891792136882,0.21428570000000002
2,0,VS,356.92838984216075,363.11397657566846,1,357.3612575065035,307.3435139912172,3840,0.28894157718965807,1.7068454721700903,0.006737946999085468,0.10229350701626755,0.116
2,0,SG,356.92838984216075,363.11397657566846,1,357.3612575065035,307.3435139912172,3840,0.3014333434407479,1.687181572285084,0.006737946999085468,0.09112561221850334,18.999999999999996
3,0,AS,275.8344165671104,281.9096725433227,2,289.1281898935339,282.21366535651987,7680,0.4745882153739668,1.5031195569697693,0.2484361294610576,0.03304143058718111,
3,0,DB,275.8344165671104,281.9096725433227,2,289.1281898935339,282.21366535651987,7680,0.4617150872345356,1.5074180336251497,0.24507744329490605,0.034203416955968055,0.21535276946677234
3,0,VS,275.8344165671104,281.9096725433227,2,289.1281898935339,282.21366535651987,7680,0.47515417452514264,1.5045940169283913,0.2476357355903353,0.033531153370135056,0.11703576011632816
3,0,SG,275.8344165671104,281.9096725433227,2,289.1281898935339,282.21366535651987,7680,0.48646479295493844,1.5710246280127655,0.22659751589734145,0.03391035553066371,5.6966395466138176
4,0,AS,336.47347589749074,375.96916393920776,3,346.4480173023981,338.61225160825893,11520,0.3695880488672285,0.869357810941873,0.43426473639765606,0.03284088160259033,
4,0,DB,336.47347589749074,375.96916393920776,3,346.4480173023981,338.61225160825893,11520,0.3549997983937154,0.8695988939073613,0.43470429974028557,0.03371689618125041,0.21428570000000002
4,0,VS,336.47347589749074,375.96916393920776,3,346.4480173023981,338.61225160825893,11520,0.3000387520565074,0.9867635914479947,0.3440590075975693,0.0466241576443739,0.116
4,0,SG,336.47347589749074,375.96916393920776,3,346.4480173023981,338.61225160825893,11520,0.37356991828411124,0.8696976132061796,0.4332841804376241,0.032034965800095065,17.73251311981377
1,3,AS,419.8652195677836,416.5893088653137,4,364.1814039717669,1049.301513417624,120,-0.9535389261858597,0.7666347459937247,0.59669768998675,0.02311157439653604,
1,3,DB,419.8652195677836,416.5893088653137,4,364.1814039717669,1049.301513417624,120,0.32198463477417183,0.7872751677157607,0.87473162526618,0.025682677526334893,0.21428570000000002
1,3,VS,419.8652195677836,416.5893088653137,4,364.1814039717669,1049.301513417624,120,0.22441412625948337,2.083288248704974,0.006810344652852375,0.09354417922885051,0.11767406473159159
1,3,SG,419.8652195677836,416.5893088653137,4,364.1814039717669,1049.301513417624,120,0.21831519378473624,2.0642082795656433,0.006737946999085468,0.092151547131849,18.999999999999996
2,3,AS,335.1792721040508,328.8358468226388,5,332.82276329103166,325.9819909320347,3960,0.3931024587516811,0.7970367392719617,0.4565956905817892,0.019704892466336985,
2,3,DB,335.1792721040508,328.8358468226388,5,332.82276329103166,325.9819909320347,3960,0.38036663885854993,0.8046992494586578,0.4493329984731881,0.020457311217562463,0.21428570000000002
2,3,VS,335.1792721040508,328.8358468226388,5,332.82276329103166,325.9819909320347,3960,0.38778928756043646,0.942132587237038,0.38214257001609475,0.028824094766325047,0.13182918261476045
2,3,SG,335.1792721040508,328.8358468226388,5,332.82276329103166,325.9819909320347,3960,0.3759794044580782,0.9158955315785478,0.3994919146162016,0.027324873995646565,16.672309290827037
3,3,AS,387.46570535494334,412.3353486090376,6,404.1144729943852,399.4892496784132,7800,0.25625019133184596,0.6878254912072905,0.45021940981817093,0.02534485285232682,
3,3,DB,387.46570535494334,412.3353486090376,6,404.1144729943852,399.4892496784132,7800,0.2476391737410828,0.585685581970819,0.4283476665734166,0.01882874588265615,0.2169913596540075
3,3,VS,387.46570535494334,412.3353486090376,6,404.1144729943852,399.4892496784132,7800,0.23233394420010167,1.5864479932478563,0.05409585253633071,0.08148330775468149,0.21324857644209547
3,3,SG,387.46570535494334,412.3353486090376,6,404.1144729943852,399.4892496784132,7800,0.27863504598636407,1.00328753864837,0.2660379802407907,0.045743219112549784,14.86712346819448
4,3,AS,353.644684989089,370.0732783395558,7,359.3552621847469,351.5895647629424,11640,0.3454275134245545,0.4541533715250672,1.8289460892994354,0.007459077627429066,
4,3,DB,353.644684989089,370.0732783395558,7,359.3552621847469,351.5895647629424,11640,0.3309697126794999,0.4074278318986755,10.487473587237458,0.005617373714924942,0.21428570000000002
4,3,VS,353.644684989089,370.0732783395558,7,359.3552621847469,351.5895647629424,11640,0.3110154273743049,0.6649245582203979,0.4222958119912477,0.024196912499121582,0.116
4,3,SG,353.644684989089,370.0732783395558,7,359.3552621847469,351.5895647629424,11640,0.34160138975234805,0.5345536222618087,0.5756265360362804,0.014115085524303104,18.999999999999996
