agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
1,0,AS,240,0,0.40834324723033544,0.34870814540901285,0.4201301189917719,0.41943454586784956,311.8382753950291,1.3379424355511524,0.035356070551089504,0.07134181293977616,
1,0,DB,240,0,0.40834324723033544,0.34870814540901285,0.4201301189917719,0.41943454586784956,317.79572845117724,1.350738276486714,0.03588945927183742,0.07348991618050471,0.21428570000000002
1,0,VS,240,0,0.40834324723033544,0.34870814540901285,0.4201301189917719,0.41943454586784956,349.82744369122184,1.3428763312648262,0.006737946999085468,0.10321410943419426,0.116
1,0,SG,240,0,0.40834324723033544,0.34870814540901285,0.4201301189917719,0.41943454586784956,311.4646632177436,1.317131980347632,0.030235690287731664,0.07015866349134435,18.999999999999996
4,0,AS,6960,1,0.61403939465564,0.5434411717219432,0.6413502211678316,0.6408643655509784,219.11522829881056,1.0467100916733154,0.006737946999085468,0.0639624193438228,
4,0,DB,6960,1,0.61403939465564,0.5434411717219432,0.6413502211678316,0.6408643655509784,231.3521447092353,1.0681255091680306,0.006970797327479589,0.06641213662821267,0.21434707590430513
4,0,VS,6960,1,0.61403939465564,0.5434411717219432,0.6413502211678316,0.6408643655509784,264.58229474895245,0.8739567877661361,0.006737946999085468,0.07796933055433597,0.116
4,0,SG,6960,1,0.61403939465564,0.5434411717219432,0.6413502211678316,0.6408643655509784,221.86565702910195,1.0408458589192906,0.006737946999085468,0.06312432680915207,18.999999999999996
2,0,AS,20400,2,0.4062486461535848,0.3409771763315437,0.4052916130864559,0.406963299874021,192.9019993910805,0.7474633944025421,0.08647236872231288,0.0407356755281955,
2,0,DB,20400,2,0.4062486461535848,0.3409771763315437,0.4052916130864559,0.406963299874021,207.310456873327,0.7655415408290965,0.08019429659715763,0.04323074426379317,0.21428570000000002
2,0,VS,20400,2,0.4062486461535848,0.3409771763315437,0.4052916130864559,0.406963299874021,245.2307773624387,0.6491622736302893,0.006737946999085468,0.06597035672129638,0.116
