agent,group,model,fit_AS,Unnamed: 0,id,fit_DB,fit_VS,fit_SG,r2,lambda,beta,tau,par
1,0,AS,311.8382753950291,240,0,317.79572845117724,349.82744369122184,311.4646632177436,0.41943454586784956,1.3379424355511524,0.035356070551089504,0.07134181293977616,
1,0,DB,311.8382753950291,240,0,317.79572845117724,349.82744369122184,311.4646632177436,0.40834324723033544,1.350738276486714,0.03588945927183742,0.07348991618050471,0.21428570000000002
1,0,VS,311.8382753950291,240,0,317.79572845117724,349.82744369122184,311.4646632177436,0.34870814540901285,1.3428763312648262,0.006737946999085468,0.10321410943419426,0.116
1,0,SG,311.8382753950291,240,0,317.79572845117724,349.82744369122184,311.4646632177436,0.4201301189917719,1.317131980347632,0.030235690287731664,0.07015866349134435,18.999999999999996
4,0,AS,219.11522829881056,6960,1,231.3521447092353,264.58229474895245,221.86565702910195,0.6408643655509784,1.0467100916733154,0.006737946999085468,0.0639624193438228,
4,0,DB,219.11522829881056,6960,1,231.3521447092353,264.58229474895245,221.86565702910195,0.61403939465564,1.0681255091680306,0.006970797327479589,0.06641213662821267,0.21434707590430513
4,0,VS,219.11522829881056,6960,1,231.3521447092353,264.58229474895245,221.86565702910195,0.5434411717219432,0.8739567877661361,0.006737946999085468,0.07796933055433597,0.116
4,0,SG,219.11522829881056,6960,1,231.3521447092353,264.58229474895245,221.86565702910195,0.6413502211678316,1.0408458589192906,0.006737946999085468,0.06312432680915207,18.999999999999996
2,0,AS,192.9019993910805,20400,2,207.310456873327,245.2307773624387,192.6410324724116,0.406963299874021,0.7474633944025421,0.08647236872231288,0.0407356755281955,
2,0,DB,192.9019993910805,20400,2,207.310456873327,245.2307773624387,192.6410324724116,0.4062486461535848,0.7655415408290965,0.08019429659715763,0.04323074426379317,0.21428570000000002
2,0,VS,192.9019993910805,20400,2,207.310456873327,245.2307773624387,192.6410324724116,0.3409771763315437,0.6491622736302893,0.006737946999085468,0.06597035672129638,0.116
2,0,SG,192.9019993910805,20400,2,207.310456873327,245.2307773624387,192.6410324724116,0.4052916130864559,0.7514641945749555,0.054287438302404005,0.0452989570568554,18.986745264443513
3,0,AS,318.5369375614787,21360,3,318.9207984717332,353.97996783314494,319.43484824687107,0.5920618408262381,1.072346055728777,0.006737946999085468,0.07773343861870968,
3,0,DB,318.5369375614787,21360,3,318.9207984717332,353.97996783314494,319.43484824687107,0.569279740315979,1.0854732766517368,0.006741748273052638,0.0776155167470145,0.21428570000000002
3,0,VS,318.5369375614787,21360,3,318.9207984717332,353.97996783314494,319.43484824687107,0.5074134504121853,1.0159607516159692,0.006737946999085468,0.09801821827436662,0.116
