agent,group,model,fit_SG,fit_VS,id,fit_DB,fit_AS,Unnamed: 0,r2,lambda,beta,tau,par
1,0,AS,361.5401777311723,393.5566647869498,0,368.47102308103007,367.942915741851,240,0.31498163366324067,0.8893497425432617,0.16973931664353098,0.060673545410039297,
1,0,DB,361.5401777311723,393.5566647869498,0,368.47102308103007,367.942915741851,240,0.3139984289016935,0.8814277769480603,0.17411378730167298,0.06057703047776194,0.21428570000000002
1,0,VS,361.5401777311723,393.5566647869498,0,368.47102308103007,367.942915741851,240,0.2672951916203029,0.7972145570843328,0.006737946999085468,0.11342552921074751,0.116
1,0,SG,361.5401777311723,393.5566647869498,0,368.47102308103007,367.942915741851,240,0.3269019423429561,0.9198221232244083,0.13161801001538953,0.0670874943709274,15.132895670004348
4,0,AS,298.632073223507,353.5020756928368,1,316.9454452082656,319.9088885407179,6960,0.42155019782996594,0.6811658336629438,0.2528878897679921,0.03792194047490435,
4,0,DB,298.632073223507,353.5020756928368,1,316.9454452082656,319.9088885407179,6960,0.4486632020154596,0.5919402920218688,0.28705252210300586,0.03250738196446477,0.21428570000000002
4,0,VS,298.632073223507,353.5020756928368,1,316.9454452082656,319.9088885407179,6960,0.3344612550402821,0.9863226134061525,0.006862834910527118,0.11018933295603767,0.11601188794336076
4,0,SG,298.632073223507,353.5020756928368,1,316.9454452082656,319.9088885407179,6960,0.4490077764807263,0.6139611590559073,0.2650047129087475,0.035726240957157346,17.286421080944606
2,0,AS,295.9536491801186,357.4798551302872,2,296.13872995995,310.7018983431277,20400,0.483038487601192,1.0516108530148627,0.006737946999085468,0.07824373817741735,
2,0,DB,295.9536491801186,357.4798551302872,2,296.13872995995,310.7018983431277,20400,0.4791140512812885,1.0551452095957163,0.006737946999085468,0.07317856342294099,0.21576118852733034
2,0,VS,295.9536491801186,357.4798551302872,2,296.13872995995,310.7018983431277,20400,0.3674494318262793,0.9077623064264274,0.006998708793016173,0.10539242335699625,0.11606187876050006
2,0,SG,295.9536491801186,357.4798551302872,2,296.13872995995,310.7018983431277,20400,0.4847145631152634,0.8690544025250277,0.010514502436092803,0.07477140942956245,3.936324380621181
3,0,AS,276.77451496749666,339.7609638594501,3,279.7827097183312,277.6747829631547,21360,0.4044090677410344,1.136181283940233,0.0436253956584956,0.06676303044221216,
3,0,DB,276.77451496749666,339.7609638594501,3,279.7827097183312,277.6747829631547,21360,0.4099262635436365,1.1406282758898958,0.043944768685236446,0.06742709885620218,0.21428570000000002
3,0,VS,276.77451496749666,339.7609638594501,3,279.7827097183312,277.6747829631547,21360,0.3418668928588451,1.054004842759696,0.006737946999085468,0.10827408008390604,0.116
3,0,SG,276.77451496749666,339.7609638594501,3,279.7827097183312,277.6747829631547,21360,0.44402121583759036,1.117320909623079,0.03733758699739059,0.06642841506086294,14.994586441718122
3,1,AS,402.1372143339784,404.2606091290875,4,403.60980861342927,402.467535465686,6000,0.23257643897272098,1.0073935313489053,0.36004833036392436,0.0539811612899776,
3,1,DB,402.1372143339784,404.2606091290875,4,403.60980861342927,402.467535465686,6000,0.2268595569015847,1.030199605067573,0.35879043741660277,0.05329589481536322,0.21428570000000002
3,1,VS,402.1372143339784,404.2606091290875,4,403.60980861342927,402.467535465686,6000,0.22593233224104736,1.0156065870584499,0.350852293630564,0.056240249390236474,0.116
3,1,SG,402.1372143339784,404.2606091290875,4,403.60980861342927,402.467535465686,6000,0.24160851168041375,0.9996093384518736,0.35571014223836334,0.05361942067691659,16.003427709506326
4,1,AS,378.336031688348,378.2847968502921,5,378.514256385994,378.04338065836936,24480,0.27150615386710253,0.9488144732875872,0.3784065312915426,0.05400962000668097,
4,1,DB,378.336031688348,378.2847968502921,5,378.514256385994,378.04338065836936,24480,0.266524313849105,0.9173816854329115,0.38289387481463183,0.05423934790092893,0.21501803399196553
4,1,VS,378.336031688348,378.2847968502921,5,378.514256385994,378.04338065836936,24480,0.254201035254473,1.0169674469736458,0.3459603780444418,0.055926411804672366,0.116
4,1,SG,378.336031688348,378.2847968502921,5,378.514256385994,378.04338065836936,24480,0.27588061058847313,0.9144237709535388,0.3808896584579697,0.05332212156043595,18.46701826802404
2,1,AS,388.9451912217856,400.5899098927528,6,393.9707252395649,391.2948367786704,25680,0.2507053625630459,0.940932463717709,0.3725066199239358,0.054126873235866575,
2,1,DB,388.9451912217856,400.5899098927528,6,393.9707252395649,391.2948367786704,25680,0.24857873353419302,0.9718950736289454,0.3607800760778929,0.05499416962750477,0.21428570000000002
2,1,VS,388.9451912217856,400.5899098927528,6,393.9707252395649,391.2948367786704,25680,0.247367104536938,1.0515311682749355,0.3167658726638899,0.05846616775089211,0.116
