,agent,group,AS_fit,DB_fit,VS_fit,SG_fit
0,1,0,,,,
120,1,3,,,,
240,1,6,,,,
360,1,7,,,,
480,1,9,,,,
600,1,10,,,,
720,1,11,,,,
840,1,12,858.0670649930863,355.0418294530174,438.9661583538806,395.0844620309855
960,1,16,,,,
1080,1,17,,,,
1200,1,20,,,,
1320,1,21,,,,
1440,1,22,,,,
1560,1,24,,,,
1680,1,25,,,,
1800,1,26,,,,
1920,1,27,,,,
2040,1,29,,,,
2160,1,30,,,,
2280,1,31,,,,
2400,1,33,,,,
2520,1,34,,,,
2640,1,35,,,,
2760,1,36,,,,
2880,1,37,,,,
3000,1,38,,,,
3120,1,39,,,,
3240,1,41,,,,
3360,1,42,,,,
3480,1,43,,,,
3600,1,44,,,,
3720,1,45,,,,
3840,2,0,,,,
3960,2,3,,,,
4080,2,6,,,,
4200,2,7,,,,
4320,2,9,,,,
4440,2,10,,,,
4560,2,11,,,,
4680,2,12,297.4042112608836,338.6511725713033,315.4295932005779,330.9500001026655
4800,2,16,,,,
4920,2,17,,,,
5040,2,20,,,,
5160,2,21,,,,
5280,2,22,,,,
5400,2,24,,,,
5520,2,25,,,,
5640,2,26,,,,
5760,2,27,,,,
5880,2,29,,,,
6000,2,30,,,,
6120,2,31,,,,
6240,2,33,,,,
6360,2,34,,,,
6480,2,35,,,,
6600,2,36,,,,
6720,2,37,,,,
6840,2,38,,,,
6960,2,39,,,,
7080,2,41,,,,
7200,2,42,,,,
7320,2,43,,,,
7440,2,44,,,,
7560,2,45,,,,
7680,3,0,,,,
7800,3,3,,,,
7920,3,6,,,,
8040,3,7,,,,
8160,3,9,,,,
8280,3,10,,,,
8400,3,11,,,,
8520,3,12,318.014010784368,323.10916041742087,383.38006212351166,323.2442047500479
8640,3,16,,,,
8760,3,17,,,,
8880,3,20,,,,
9000,3,21,,,,
9120,3,22,,,,
9240,3,24,,,,
9360,3,25,,,,
9480,3,26,,,,
9600,3,27,,,,
9720,3,29,,,,
9840,3,30,,,,
9960,3,31,,,,
10080,3,33,,,,
10200,3,34,,,,
10320,3,35,,,,
10440,3,36,,,,
10560,3,37,,,,
10680,3,38,,,,
10800,3,39,,,,
10920,3,41,,,,
11040,3,42,,,,
11160,3,43,,,,
11280,3,44,,,,
11400,3,45,,,,
11520,4,0,,,,
11640,4,3,,,,
11760,4,6,,,,
11880,4,7,,,,
12000,4,9,,,,
12120,4,10,,,,
12240,4,11,,,,
12360,4,12,485.74779620290735,489.94326164370625,493.56232444333193,486.84518953786613
12480,4,16,,,,
12600,4,17,,,,
12720,4,20,,,,
12840,4,21,,,,
12960,4,22,,,,
13080,4,24,,,,
13200,4,25,,,,
13320,4,26,,,,
13440,4,27,,,,
13560,4,29,,,,
13680,4,30,,,,
13800,4,31,,,,
13920,4,33,,,,
14040,4,34,,,,
14160,4,35,,,,
14280,4,36,,,,
14400,4,37,,,,
14520,4,38,,,,
14640,4,39,,,,
14760,4,41,,,,
14880,4,42,,,,
15000,4,43,,,,
15120,4,44,,,,
15240,4,45,,,,
