,agent,group,AS_fit,DB_fit,VS_fit,SG_fit
0,2,50,,,,
240,1,0,,,,
480,4,6,,,,
720,4,52,,,,
960,1,52,,,,
1200,2,39,,,,
1440,4,45,,,,
1680,2,61,,,,
1920,3,61,,,,
2160,1,39,,,,
2400,4,30,,,,
2640,2,51,,,,
2880,2,37,,,,
3120,3,55,,,,
3360,2,32,,,,
3600,1,43,,,,
3840,1,32,,,,
4080,3,50,,,,
4320,4,2,406.14578264390957,409.31133034411096,429.13698556124353,412.979543061241
4560,4,58,,,,
4800,3,52,,,,
5040,1,6,,,,
5280,3,32,,,,
5520,3,6,,,,
5760,3,16,,,,
6000,3,1,,,,
6240,3,51,,,,
6480,3,58,,,,
6720,2,19,,,,
6960,4,0,,,,
7200,4,38,,,,
7440,3,8,,,,
7680,2,26,,,,
7920,3,35,,,,
8160,3,26,,,,
8400,4,32,,,,
8640,4,61,,,,
8880,2,8,,,,
9120,2,58,,,,
9360,4,26,,,,
9600,1,26,,,,
9840,2,36,,,,
10080,1,48,,,,
10320,4,29,,,,
10560,2,4,,,,
10800,3,19,,,,
11040,2,34,,,,
11280,2,6,,,,
11520,4,25,,,,
11760,1,54,,,,
12000,3,54,,,,
12240,1,61,,,,
12480,1,38,,,,
12720,3,29,,,,
12960,1,4,,,,
13200,2,35,,,,
13440,3,39,,,,
13680,1,8,,,,
13920,4,42,,,,
14160,1,28,,,,
14400,2,45,,,,
14640,2,43,,,,
14880,4,28,,,,
15120,2,41,,,,
15360,3,37,,,,
15600,4,34,,,,
15840,1,51,,,,
16080,4,35,,,,
16320,1,29,,,,
16560,1,42,,,,
16800,3,28,,,,
17040,4,55,,,,
17280,2,42,,,,
17520,3,38,,,,
17760,2,55,,,,
18000,3,34,,,,
18240,1,16,,,,
18480,3,4,,,,
18720,3,25,,,,
18960,3,45,,,,
19200,2,16,,,,
19440,1,50,,,,
19680,4,16,,,,
19920,3,43,,,,
20160,1,2,383.40865988874947,379.42106316250226,381.1190759591424,373.8529140007464
20400,2,0,,,,
20640,1,58,,,,
20880,4,8,,,,
21120,4,19,,,,
21360,3,0,,,,
21600,1,25,,,,
21840,2,38,,,,
22080,4,4,,,,
22320,2,25,,,,
22560,3,23,,,,
22800,1,55,,,,
23040,2,2,362.75288617984467,366.31678003203484,364.0193584516811,360.61741800564624
23280,1,36,,,,
23520,1,35,,,,
23760,2,52,,,,
24000,4,51,,,,
24240,4,36,,,,
24480,4,1,,,,
24720,2,29,,,,
24960,4,48,,,,
25200,4,43,,,,
25440,1,30,,,,
25680,2,1,,,,
25920,1,45,,,,
26160,2,48,,,,
26400,4,37,,,,
26640,2,23,,,,
26880,2,54,,,,
27120,1,1,,,,
27360,3,30,,,,
27600,2,28,,,,
27840,4,39,,,,
28080,3,42,,,,
28320,3,48,,,,
28560,1,34,,,,
28800,4,23,,,,
29040,2,30,,,,
29280,3,2,383.197944461909,386.59044382363095,391.7955061103345,377.45273937071465
29520,1,23,,,,
29760,4,50,,,,
30000,1,41,,,,
30240,3,41,,,,
30480,3,36,,,,
30720,1,37,,,,
30960,4,41,,,,
31200,4,54,,,,
31440,1,19,,,,
