,agent,group,AS_fit,DB_fit,VS_fit,SG_fit
0,2,16,,,,
120,1,44,,,,
240,4,15,,,,
360,2,10,,,,
480,2,9,,,,
600,1,38,,,,
720,3,30,,,,
840,4,12,,,,
960,3,3,,,,
1080,2,42,,,,
1200,1,35,,,,
1320,2,35,,,,
1440,1,2,,,,
1560,4,6,,,,
1680,1,23,,,,
1800,2,2,,,,
1920,4,16,,,,
2040,2,36,,,,
2160,3,12,,,,
2280,2,6,,,,
2400,4,41,,,,
2520,2,40,,,,
2640,1,11,,,,
2760,2,30,,,,
2880,4,14,,,,
3000,2,41,,,,
3120,1,32,,,,
3240,4,43,,,,
3360,3,24,,,,
3480,3,0,,,,
3600,3,7,,,,
3720,1,13,,,,
3840,2,45,411.2197163139899,416.44013070155705,409.9781637800195,412.2777627862613
3960,3,23,,,,
4080,4,10,,,,
4200,2,11,,,,
4320,4,40,,,,
4440,1,9,,,,
4560,3,28,,,,
4680,4,11,,,,
4800,2,29,,,,
4920,1,21,,,,
5040,2,34,,,,
5160,3,36,,,,
5280,1,31,,,,
5400,2,8,,,,
5520,3,25,,,,
5640,4,34,,,,
5760,4,31,,,,
5880,4,36,,,,
6000,3,43,,,,
6120,2,12,,,,
6240,3,6,,,,
6360,2,21,,,,
6480,4,42,,,,
6600,1,45,388.372481953902,394.4228488736348,392.02763682991355,388.60135257006533
6720,2,28,,,,
6840,3,29,,,,
6960,3,13,,,,
7080,4,38,,,,
7200,1,24,,,,
7320,1,1,,,,
7440,2,37,,,,
7560,1,29,,,,
7680,3,37,,,,
7800,4,28,,,,
7920,4,17,,,,
8040,4,24,,,,
8160,2,38,,,,
8280,1,16,,,,
8400,1,3,,,,
8520,3,21,,,,
8640,3,34,,,,
8760,2,1,,,,
8880,1,37,,,,
9000,4,32,,,,
9120,1,10,,,,
9240,4,13,,,,
9360,4,8,,,,
9480,3,32,,,,
9600,3,41,,,,
9720,3,15,,,,
9840,1,6,,,,
9960,1,30,,,,
10080,3,10,,,,
10200,4,30,,,,
10320,4,44,,,,
10440,3,16,,,,
10560,1,43,,,,
10680,2,31,,,,
10800,2,39,,,,
10920,4,7,,,,
11040,2,0,,,,
11160,1,42,,,,
11280,1,34,,,,
11400,3,2,,,,
11520,3,17,,,,
11640,3,35,,,,
11760,2,14,,,,
11880,3,33,,,,
12000,4,37,,,,
12120,2,33,,,,
12240,1,12,,,,
12360,1,0,,,,
12480,4,0,,,,
12600,1,33,,,,
12720,2,15,,,,
12840,1,39,,,,
12960,4,18,,,,
13080,4,29,,,,
13200,1,41,,,,
13320,4,25,,,,
13440,4,23,,,,
13560,1,36,,,,
13680,2,18,,,,
13800,1,7,,,,
13920,4,35,,,,
14040,3,1,,,,
14160,4,21,,,,
14280,3,9,,,,
14400,1,25,,,,
14520,2,17,,,,
14640,4,3,,,,
14760,4,45,734.7879451375695,425.87466365864327,395.60889684247286,408.5369818415191
14880,1,14,,,,
15000,4,9,,,,
15120,1,15,,,,
15240,4,33,,,,
15360,3,40,,,,
15480,1,40,,,,
15600,3,45,422.39357709873764,434.57088467864537,441.9969951659559,437.28677709227554
15720,3,39,,,,
15840,2,24,,,,
15960,2,43,,,,
16080,2,3,,,,
16200,3,44,,,,
16320,2,25,,,,
16440,2,13,,,,
16560,3,18,,,,
16680,2,7,,,,
16800,3,31,,,,
16920,3,38,,,,
17040,3,42,,,,
17160,2,23,,,,
17280,2,32,,,,
17400,3,14,,,,
17520,3,8,,,,
17640,1,28,,,,
17760,1,8,,,,
17880,4,2,,,,
18000,3,11,,,,
18120,4,1,,,,
18240,1,17,,,,
18360,2,44,,,,
18480,1,18,,,,
18600,4,39,,,,
