Unnamed: 0,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit,lambda,beta,tau,gamma,alpha,eps_soc,lambda_fit,beta_fit,tau_fit,par_fit
0,0.0,0.0,SG,56.61740408184981,56.772922514598505,57.12143692635001,56.33488555563013,1.9271383221513123,0.1063336108608854,0.1009312614979024,0.0,0.0,10.554552100731575,1.935445901204902,0.06904162356768807,0.10696948247678734,8.731999978830565
15,1.0,0.0,VS,63.02648498180982,62.96510429197797,63.0727825388001,63.07875236962151,2.916962755168592,0.0067379469990854,0.181663757808573,0.0,0.116,0.0,2.672559621412987,0.06216033111829197,0.20251851326678189,0.19662347454467913
30,2.0,0.0,DB,55.66314509799806,54.65830951121213,55.86063858186522,55.67629198645299,1.307300758357758,0.1852559941960347,0.0734828863619281,0.2297063577016003,0.0,0.0,1.4529064096306277,0.1963140334941225,0.07212202384075789,0.36236156661891533
45,3.0,0.0,SG,54.62437727844802,54.76035606958889,54.890594573239866,53.89085599958525,0.9887869288100988,0.4083311732667356,0.0546842858236754,0.0,0.0,16.680709255989974,1.0047294196136578,0.3461394637431273,0.04903742461743002,8.134342236003267
480,0.0,1.0,AS,47.08650168764942,47.552013589646336,48.31730059157405,47.208604287675925,1.4860417903825969,0.1228605882126166,0.0555041058794857,0.0,0.0,0.0,1.6874903140993223,0.10867868977501166,0.05863257023477124,
495,1.0,1.0,AS,47.26363600540289,47.89018617616527,48.189975166346514,47.40583117676594,1.1362007465354869,0.1953294842232632,0.0576950211854173,0.0,0.0,0.0,1.1798925831826954,0.21815602610874743,0.05358689764373085,
510,2.0,1.0,SG,55.13104038285549,54.858404976842095,56.015256147797295,54.92114531398829,1.1366320735934357,0.1780971425599088,0.0747864877299546,0.0,0.0,19.0,1.0248413860772103,0.20786151291603852,0.06790749052856378,9.513190629848271
525,3.0,1.0,DB,59.19556397580702,58.829633505921535,60.84819529959639,59.38151489841609,0.8331028049499328,0.4177555362508238,0.0509390970794033,0.2142857,0.0,0.0,0.8051316262658081,0.5002666659110515,0.042571067613080646,0.21769384055661606
960,0.0,2.0,SG,55.676780014178746,55.88233020200133,56.315753881965925,55.556513849981656,0.9949830654453736,0.3596261981250528,0.0550684534037453,0.0,0.0,8.030380942689773,1.041143813074786,0.38755199208531316,0.05018829223489514,17.815030411246685
975,1.0,2.0,AS,41.39727424527963,42.040252857171154,55.46164332104078,44.39478769249244,0.3799419052375495,0.7026755505452318,0.003040923199823,0.0,0.0,0.0,0.3297267131385532,0.5362576966042577,0.001028385087638157,
990,2.0,2.0,DB,58.210922082492615,58.414661426989326,62.20815119478629,58.89333847624881,0.64373852270698,0.4705182284323975,0.0369617089169652,0.2142857,0.0,0.0,0.4631806725742734,1.0467905836362315,0.013123730559178343,0.21428570000000002
1005,3.0,2.0,DB,47.77802993184185,46.09641802358404,47.92842098367267,47.70296565817486,0.9461968478663156,0.0169757556013693,0.0626208701053267,0.2142857,0.0,0.0,0.8851662328580143,0.024691773464643636,0.06036737446452751,0.22126996014990297
1440,0.0,3.0,AS,59.5435610910886,59.612394828588585,61.80316773928018,60.44649866270242,0.6419651206519308,2.942830803661101,0.0185113522321194,0.0,0.0,0.0,0.9115529536658485,1.5647860517449712,0.034790794762101354,
1455,1.0,3.0,VS,39.476261682366506,39.98861793684026,36.4010035196032,39.43478191164872,1.9202690917356435,0.0067379469990854,0.0587602298933429,0.0,0.116,0.0,1.959680738041207,0.015623534491534051,0.055223848358755136,0.13270243981529026
1470,2.0,3.0,VS,50.48593109458182,50.63266197672906,49.47408575687548,50.69448351571496,1.905992456820032,0.0067379469990854,0.0982846402377798,0.0,0.116,0.0,1.8004129963183695,0.09305578421934416,0.08948768687185973,0.11617698714099578
1485,3.0,3.0,DB,52.59754827220584,50.95307681308945,53.98360442513852,52.48088195343541,1.0953676637073355,0.1909819177695694,0.0520885081418444,0.2142857,0.0,0.0,1.1767453503972145,0.19078840620997406,0.0554808086779206,0.2991781048193076
1920,0.0,4.0,AS,52.68783099056945,53.15356903082092,54.91035825423596,53.434190225452426,0.6685439021282849,0.7588491130865958,0.0213127532560892,0.0,0.0,0.0,0.7351852724359863,0.5852236742584563,0.027792628628516412,
1935,1.0,4.0,DB,57.220008299629626,57.36344654319221,57.65780925315477,57.29595643696006,0.8597173003851616,0.3210702444136947,0.047898626556498,0.2142857,0.0,0.0,0.8611335449731181,0.3651423879640378,0.047355878531826504,0.21428570000000002
1950,2.0,4.0,DB,145.47548545350875,49.37888346689121,54.915649794144656,52.36548350291544,0.585685581970819,0.4283476665734166,0.0188287458826561,0.2169913596540075,0.0,0.0,0.5519872296863193,0.4428505336138457,0.01690800889741605,0.23295781398422877
1965,3.0,4.0,VS,58.49571956082509,58.53007708291035,58.53489304340109,58.50141375625857,1.7211915530628012,0.0067379469990854,0.1402715879588608,0.0,0.116,0.0,1.7273562709015295,0.006737946999085468,0.13120130620785497,0.1733160526399131
2400,0.0,5.0,AS,59.65168631713826,59.54141997455149,60.91148250753562,60.01668863895611,0.6395783351321358,0.357005971725213,0.0377676000497008,0.0,0.0,0.0,0.5557612083297093,0.3582108141207492,0.02769533400425466,
2415,1.0,5.0,VS,54.72078685771543,54.71317192684451,53.6770696081613,54.78463679266358,0.8917671234038324,0.3957087637119321,0.0478151708197847,0.0,0.116,0.0,0.866431631125271,0.39162677940537816,0.04588094909722744,0.116
